product,date,sales
1,2019-01-01,61
1,2019-01-02,44
1,2019-01-03,50
1,2019-01-04,30
1,2019-01-05,58
1,2019-01-06,54
1,2019-01-07,70
1,2019-01-08,40
1,2019-01-09,39
1,2019-01-10,48
1,2019-01-11,42
1,2019-01-12,37
1,2019-01-13,40
1,2019-01-14,44
1,2019-01-15,53
1,2019-01-16,32
1,2019-01-17,60
1,2019-01-18,47
1,2019-01-19,59
1,2019-01-20,47
1,2019-01-21,60
1,2019-01-22,40
1,2019-01-23,53
1,2019-01-24,59
1,2019-01-25,61
1,2019-01-26,49
1,2019-01-27,50
1,2019-01-28,59
1,2019-01-29,55
1,2019-01-30,54
1,2019-01-31,66
1,2019-02-01,58
1,2019-02-02,38
1,2019-02-03,47
1,2019-02-04,30
1,2019-02-05,48
1,2019-02-06,60
1,2019-02-07,48
1,2019-02-08,41
1,2019-02-09,62
1,2019-02-10,28
1,2019-02-11,42
1,2019-02-12,56
1,2019-02-13,48
1,2019-02-14,38
1,2019-02-15,53
1,2019-02-16,61
1,2019-02-17,41
1,2019-02-18,53
1,2019-02-19,62
1,2019-02-20,63
1,2019-02-21,60
1,2019-02-22,57
1,2019-02-23,38
1,2019-02-24,44
1,2019-02-25,36
1,2019-02-26,56
1,2019-02-27,61
1,2019-02-28,67
1,2019-03-01,53
1,2019-03-02,39
1,2019-03-03,55
1,2019-03-04,52
1,2019-03-05,38
1,2019-03-06,46
1,2019-03-07,46
1,2019-03-08,65
1,2019-03-09,48
1,2019-03-10,45
1,2019-03-11,50
1,2019-03-12,48
1,2019-03-13,55
1,2019-03-14,38
1,2019-03-15,57
1,2019-03-16,72
1,2019-03-17,35
1,2019-03-18,58
1,2019-03-19,45
1,2019-03-20,58
1,2019-03-21,58
1,2019-03-22,51
1,2019-03-23,52
1,2019-03-24,42
1,2019-03-25,45
1,2019-03-26,69
1,2019-03-27,62
1,2019-03-28,46
1,2019-03-29,42
1,2019-03-30,52
1,2019-03-31,70
1,2019-04-01,77
1,2019-04-02,68
1,2019-04-03,75
1,2019-04-04,51
1,2019-04-05,58
1,2019-04-06,60
1,2019-04-07,62
1,2019-04-08,72
1,2019-04-09,58
1,2019-04-10,82
1,2019-04-11,61
1,2019-04-12,70
1,2019-04-13,52
1,2019-04-14,52
1,2019-04-15,63
1,2019-04-16,53
1,2019-04-17,63
1,2019-04-18,50
1,2019-04-19,77
1,2019-04-20,98
1,2019-04-21,90
1,2019-04-22,87
1,2019-04-23,77
1,2019-04-24,75
1,2019-04-25,58
1,2019-04-26,64
1,2019-04-27,69
1,2019-04-28,41
1,2019-04-29,57
1,2019-04-30,71
1,2019-05-01,69
1,2019-05-02,69
1,2019-05-03,40
1,2019-05-04,59
1,2019-05-05,48
1,2019-05-06,73
1,2019-05-07,67
1,2019-05-08,35
1,2019-05-09,70
1,2019-05-10,58
1,2019-05-11,72
1,2019-05-12,61
1,2019-05-13,64
1,2019-05-14,84
1,2019-05-15,57
1,2019-05-16,69
1,2019-05-17,72
1,2019-05-18,72
1,2019-05-19,39
1,2019-05-20,41
1,2019-05-21,72
1,2019-05-22,55
1,2019-05-23,69
1,2019-05-24,67
1,2019-05-25,84
1,2019-05-26,47
1,2019-05-27,53
1,2019-05-28,53
1,2019-05-29,58
1,2019-05-30,28
1,2019-05-31,66
1,2019-06-01,68
1,2019-06-02,91
1,2019-06-03,54
